Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX15,~,mx_1u,311.94375,-51.59375,0.0,top
MX15b1,~,mx_2u,302.41875,-51.59375,0.0,top
MX16,~,mx_15u,50.00625,-70.64375,0.0,top
MX17,~,mx_1u,73.81875,-70.64375,0.0,top
MX18,~,mx_1u,92.86875,-70.64375,0.0,top
MX19,~,mx_1u,111.91875,-70.64375,0.0,top
MX20,~,mx_1u,130.96875,-70.64375,0.0,top
MX21,~,mx_1u,150.01875,-70.64375,0.0,top
MX22,~,mx_1u,169.06875,-70.64375,0.0,top
MX23,~,mx_1u,188.11875,-70.64375,0.0,top
MX24,~,mx_1u,207.16875,-70.64375,0.0,top
MX25,~,mx_1u,226.21875,-70.64375,0.0,top
MX26,~,mx_1u,245.26875,-70.64375,0.0,top
MX27,~,mx_1u,264.31875,-70.64375,0.0,top
MX28,~,mx_1u,283.36875,-70.64375,0.0,top
MX29,~,mx_iso,309.5625,-80.16875,0.0,top
MX29b1,~,mx_15u,307.18125,-70.64375,180.0,top
MX30,~,mx_stepped_caps,52.3875,-89.69375,0.0,top
MX31,~,mx_1u,78.58125,-89.69375,0.0,top
MX32,~,mx_1u,97.63125,-89.69375,0.0,top
MX33,~,mx_1u,116.68125,-89.69375,0.0,top
MX34,~,mx_1u,135.73125,-89.69375,0.0,top
MX35,~,mx_1u,154.78125,-89.69375,0.0,top
MX36,~,mx_1u,173.83125,-89.69375,0.0,top
MX37,~,mx_1u,192.88125,-89.69375,0.0,top
MX38,~,mx_1u,211.93125,-89.69375,0.0,top
MX39,~,mx_1u,230.98125,-89.69375,0.0,top
MX40,~,mx_1u,250.03125,-89.69375,0.0,top
MX41,~,mx_1u,269.08125,-89.69375,0.0,top
MX42,~,mx_1u,288.13125,-89.69375,0.0,top
MX42b1,~,mx_225u,300.0375,-89.69375,0.0,top
MX43,~,mx_125u,47.625,-108.74375,0.0,top
MX43b1,~,mx_225u,57.15,-108.74375,0.0,top
MX44,~,mx_1u,69.05625,-108.74375,0.0,top
MX45,~,mx_1u,88.10625,-108.74375,0.0,top
MX46,~,mx_1u,107.15625,-108.74375,0.0,top
MX47,~,mx_1u,126.20625,-108.74375,0.0,top
MX48,~,mx_1u,145.25625,-108.74375,0.0,top
MX49,~,mx_1u,164.30625,-108.74375,0.0,top
MX50,~,mx_1u,183.35625,-108.74375,0.0,top
MX51,~,mx_1u,202.40625,-108.74375,0.0,top
MX52,~,mx_1u,221.45625,-108.74375,0.0,top
